"sku";"nombre";"subtitulo";"foto";"video"
"006384e0-2b1d-4a9f-84f2-5e46fb83b670";"Flexibilidad Mental y Gestión de las Emociones";"Descubre las técnicas y pautas de cómo cada ser humano se reconoce a sí mismo en su relación con los demás para aprender a gestionar sus emociones.";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/courses/11-FLEXIBILIDAD-MENTAL.jpg";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/videos/Bienvenida_+Flexibilidad+mental+y+gesti%C3%B3n+de+las+emociones.mp4"
"0136c79a-47fb-45af-810d-49557b0c5232";"Herramientas estadísticas y tendencias";"<p>El análisis e interpretación de la información es una de las capacidades más solicitadas en la actualidad. En este curso conocerás los conceptos y procesos básicos más importantes para lograr organizar los datos de un estudio estadístico de variables categóricas, numéricas discretas y numéricas continuas. Conocerás cuáles son los pasos importantes para desarrollar un proyecto aplicativo de análisis de datos, así como representar dicha información a través de gráficos estadísticos.</p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1666140939714__Herramientas%20estad%C3%ADsticas%20y%20tendencias%20%281%29.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1666140939715__157+-+S0.mp4"
"0253e335-d6d3-421f-a3d4-a17f6a76be9a";"Innovación en el modelo de negocio de hoteles y restaurantes";"<p>La tecnología ha afectado a todos los sectores; y la Hotelería &amp; restaurantes no han sido la excepción. Esto hace que los entornos -por el ritmo tan acelerado de cambio que presentan- sean de gran incertidumbre. En estos entornos, donde la mejor o talvez, única respuesta es: responder de manera ágil a los consumidores; la clave es tener la capacidad de innovar, y esto se traduce es definir y validar negocios, logrando la solución óptima fallando lo más barato posible. Te invito a descubrir lo apasionante de la innovación.</p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1658521502274__INNOVACIO%CC%81N%20EN%20EL%20MODELO%20DE%20NEGOCIO%20DE%20HOTELES%20Y%20RESTAURANTES.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1658521502275__138-S0.mp4"
"05f6f5b0-a0cd-47db-b902-7a36b8a6192d";"Herramientas digitales para maximizar el potencial de tu marca";"<p>¿Conoces de tecnología?, ¿Sabes qué beneficios puedes generar para tu marca a través del ecosistema digital?, ¿Sabías que existen muchas herramientas que pueden ayudarte a elaborar un buen plan de medios digitales para
atraer a tus clientes? Estas y otras preguntas podrás resolver sobre las herramientas digitales, que te ayudarán a potenciar tu marca y conocerás tácticas y estrategias a través de estos canales, con el objetivo de generar tráfico de calidad, conseguir leads y mejorar tus ventas, a través del posicionamiento y llegada a mayor público que conocerán tu marca.</p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1660756975459__150.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1660756975459__150+-+S00.mp4"
"061d6b6b-5637-4777-9981-1851cdefbb8a";"Coaching Ejecutivo";"Aprende a desarrollar estrategias del coaching a través de diferentes técnicas y métodos para poder entender su importancia de forma íntegra.";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/courses/36-COACHING-EJECUTIVO.jpg";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/videos/Bienvenida_+Coaching+Ejecutivo.mp4"
"06f8f50c-91da-4302-bbed-4a656eab3af4";"Atención al cliente financiero";"<p>¿Necesitas nuevas ideas para optimizar la atención y servicio hacia tus clientes? ¿Conoces qué recursos, herramientas y soluciones puedes aplicar para fidelizar a tu cliente financiero? Estas preguntas y muchas otras podrás resolverlas a partir de esta experiencia de aprendizaje, en la que aprenderás a solucionar los requerimientos y necesidades de tus clientes desde un enfoque de generación de valor, identificación de los niveles de satisfacción, la atención eficiente de quejas o reclamos, el seguimiento y la resolución de problemas, así como la aplicación de estrategias de fidelización.</p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1658511454644__ATENCIO%CC%81N%20AL%20CLIENTE%20FINANCIERO.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1658738135525__Untitled.mp4"
"07467717-8f43-4578-aa95-77001fc34f59";"Plan de Marketing y Estrategia Digital";"Comprende las herramientas y conceptos que permiten aplicar un plan de marketing y estrategia digital alineado a los objetivos de una empresa.";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1667947232664__1626091641425__plan-de-marketing.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/videos/Bienvenida_+Plan+de+Marketing+y+Estrategia+Digital.mp4"
"07bad21f-4e91-4466-a282-d854729eca13";"Aprende a gestionar logística internacional";"<p>En el curso conocerás acerca de la gestión logística internacional y de los modos de transporte que se suelen utilizar para transportar los productos en el comercio internacional. Además, aprenderás sobre los canales de distribución y los criterios para definir la matriz de costos y tiempos logísticos. Finalmente, comprenderás acerca de los costos logísticos en los distintos sectores productivos y los indicadores de desempeño logístico. </p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1669672671501__176.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1669672671501__176+-+S0.mp4"
"08570b37-dd8c-4828-bdba-567fafdec362";"Logística en e-commerce";"<p>¿Sabías que las exigencias operativas para las empresas que realizan la logística en e-commerce es distinta a las que ejecutan sólo logística tradicional? En este curso conocerás acerca de los fundamentos de la logística en e-commerce, reconociendo las diferencias que existen entre ambas formas de logística; asimismo, aprenderás de la gestión del almacenamiento, de la administración de la última milla, de los métodos de entrega empleados en el e-commerce.</p>";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1652477252483__116.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1652477252483__116-S0.mp4"
"0a77cb91-6e63-469c-94be-c3e6a67de355";"Service Design";"Comprende de forma integral las herramientas y conceptos que permiten aplicar el <span class='chnge-italic-style-fron-backend'><span class='chnge-italic-style-fron-backend'>service design</span></span>.";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/1626091252131__service-design.png";"https://pe-isil-ecommerce-production-nv.s3.amazonaws.com/videos/Bienvenida_+Service+Design.mp4"
