"sku";"nombre"
"cca0cef4-2864-4c5d-9d3c-d5b1a645e18f";"Comunicaciones"
"a018104c-150c-4104-bed4-8ca1a04ef24f";"Diseño"
"17143b3a-f20f-4ac6-b118-6b1169837457";"Gestión del Talento"
"95786aac-47f3-4714-a7d0-3319b2e1a647";"Comunicaciones"
"787c89b6-077c-4642-9731-a34cc7c4f0dd";"Habilidades Blandas"
"cfe4aac2-f47a-473f-8175-f90d252b133d";"Habilidades Blandas"
"1c11dd77-3666-4510-96fe-8b808e59bffa";"Innovación y Transformación Digital"
"4fa67dad-0ee7-4e29-a55e-54209b70e8fa";"Operaciones y Logística"
"bc9cb226-4696-4be1-b306-fece14be8bf9";"Operaciones y Logística"
"87f8c7a2-46fd-4cc1-b322-d3321520ab5d";"Gestión del Talento"
"006384e0-2b1d-4a9f-84f2-5e46fb83b670";"Wellness"
"34068e81-6544-4c95-95ad-69cb57b5df1b";"Comercial"
"22a984ac-561d-428a-bc9e-090d34ed6a9f";"Operaciones y Logística"
"5c9f66d3-cb81-48b0-bfad-618acdb72ee4";"Administración"
"3d381725-b05a-4385-97a6-1fd83d3e139b";"Habilidades Blandas"
"daf5c195-15d3-4509-8e0b-d9b775706c59";"Innovación y Transformación Digital"
"f945010f-bce3-4ac1-acdd-7abcdd67d94f";"Marketing Digital"
"5fa5e8e3-aced-46a6-9c1f-4032b74e946d";"Marketing Digital"
"53aebcfd-c5cc-4602-a684-d6a650b07b64";"Innovación y Transformación Digital"
"324e930a-e198-4af2-88cd-ead24197c652";"Habilidades Blandas"
"88635fcb-f220-4523-982f-5540a63a942f";"Habilidades Blandas"
"89f0405d-ff66-4a18-a650-71424f7a3f81";"Administración"
"8085af9f-ac05-44e6-b49e-05d6230f3654";"Marketing Digital"
"4e35cc51-e27a-4da2-aaab-9db75932e6d4";"Contabilidad y Finanzas"
"de95940f-9962-47d0-896f-31512d39c809";"Operaciones y Logística"
"f9b4bd0d-1ca7-4669-9ada-afbf20876d43";"Diseño de Interiores"
"ae597de7-002c-419b-8814-9c281d8d6fcb";"Wellness"
"a8347a81-18a9-43f4-98e5-52479054b56a";"Comercial"
"8a6a5287-98dc-450d-8d97-1917d131f2d7";"Innovación y Transformación Digital"
"83432298-4942-47c8-be29-ced3734a702b";"Innovación y Transformación Digital"
"f650aaf1-38f7-4026-a8bd-566c18d8af6e";"Gestión del Talento"
"d3b54adf-5cdf-41f0-ae87-55d96f27f18c";"Comunicaciones"
"8e8b9822-5b54-4379-ae6f-322c5d191c6d";"Gestión del Talento"
"061d6b6b-5637-4777-9981-1851cdefbb8a";"Habilidades Blandas"
"c27ea564-41d4-4e35-8564-56818ed36311";"Administración"
"8c941fe2-05bd-4fec-9395-eeb81efbb256";"Wellness"
